date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:30	96752/96752	---M--	200	added ('OK')	font/woff2	etag:%22179f0-612a949ab78fe%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.woff2	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:30	226128/226128	---M--	200	added ('OK')	font/ttf	etag:%2237350-612a949ab7516%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.ttf	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:31	124704/124704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e720-612a949ab889e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.eot	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/lineicons.css?ver=1.0.8)
09:44:31	923151/923151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e160f-612a949ab6d46%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.svg	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:31	51676/51676	---M--	200	added ('OK')	font/woff2	etag:%22c9dc-612a949aba3f7%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.woff2	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/lineicons.css?ver=1.0.8)
09:44:31	64732/64732	---M--	200	added ('OK')	font/woff	etag:%22fcdc-612a949aba00f%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.woff	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/lineicons.css?ver=1.0.8)
09:44:31	124532/124532	---M--	200	added ('OK')	font/ttf	etag:%221e674-612a949aba00f%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.ttf	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/lineicons.css?ver=1.0.8)
09:44:32	610039/610039	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2294ef7-612a949ab9c27%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.svg	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/LineIcons.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/lineicons.css?ver=1.0.8)
09:44:32	899652/899652	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dba44-612a949abbf4f%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/materialdesignicons-webfont.eot?v=5.3.45	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/materialdesignicons-webfontb1c3.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/materialdesignicons.min.css?ver=1.0.8)
09:44:32	899652/899652	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dba44-612a949abbf4f%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/materialdesignicons-webfont.eot?	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/materialdesignicons.min.css?ver=1.0.8)
